IQ,CGPA,Internship_Experience,Projects_Completed,Placement
83,9.23,Yes,5,No
80,8.88,No,2,No
117,6.23,No,5,No
92,10,No,5,Yes
105,9.44,No,1,No
99,5.73,Yes,0,No
107,9.68,Yes,4,Yes
101,6.37,No,4,No
80,5.18,No,2,No
114,8.08,Yes,3,Yes
92,7.99,No,4,No
76,5.11,No,2,No
93,6.27,Yes,0,No
122,9.52,Yes,3,Yes
112,8.78,No,0,No
94,9.08,No,2,No
94,6.15,No,0,No
95,5.73,Yes,1,No
131,6.06,No,2,No
105,6.64,Yes,3,No
106,6.18,No,4,No
115,5.53,No,0,No
103,7.51,Yes,2,No
96,6.45,No,0,No
97,8.64,Yes,5,No
98,5.73,No,2,No
99,6.88,No,5,No
110,4.81,No,2,No
100,7.18,No,5,No
110,5.77,Yes,3,No
98,9.63,No,0,No
101,8.69,No,0,No
70,7.64,Yes,2,No
113,5.79,No,1,No
105,7.85,No,4,No
114,9.17,No,4,Yes
56,5.79,No,1,No
131,7.54,No,3,No
97,8.9,No,5,No
116,8.95,No,1,No
84,8.88,No,5,Yes
109,9.57,Yes,1,No
84,9.43,Yes,3,No
90,7.23,No,2,No
128,7.69,No,5,No
97,8.91,No,0,No
103,8.55,No,5,No
113,10.17,Yes,5,Yes
107,4.81,No,4,No
102,7.12,No,5,No
105,6.63,Yes,4,No
136,6.04,Yes,4,No
99,6.58,Yes,1,No
103,8.71,No,2,No
115,5.37,No,2,Yes
116,8.37,No,5,Yes
117,8.5,No,1,Yes
109,5.91,Yes,3,No
82,6.19,No,3,No
124,8.05,Yes,2,Yes
82,9.03,No,1,No
104,9.07,Yes,5,Yes
88,9.58,No,4,Yes
99,9.65,Yes,0,No
104,7.85,Yes,2,No
104,9.81,No,4,Yes
106,9.17,Yes,2,No
124,9.28,No,0,No
106,4.95,Yes,5,No
96,9.64,No,3,Yes
114,7.46,No,2,Yes
117,8.82,No,5,Yes
81,5.87,No,1,No
108,7.06,No,3,No
110,6.01,No,3,No
95,6.27,Yes,4,No
120,5.34,Yes,1,No
97,8.92,No,5,No
101,5.07,Yes,2,No
97,6.57,Yes,2,No
100,6.12,No,1,No
83,7.64,No,3,No
78,6.72,Yes,2,No
123,6.13,No,2,Yes
87,7.24,Yes,2,No
85,8.45,No,0,No
67,5.92,No,1,No
90,5.76,Yes,0,No
80,6.49,No,0,No
124,10.25,No,4,Yes
115,7.26,No,2,No
89,7.52,No,0,No
133,6.54,Yes,1,No
114,7.72,No,4,Yes
95,5.54,No,4,No
62,5.43,Yes,5,No
134,7.82,No,3,No
79,6.92,No,3,No
75,5.25,Yes,4,No
115,8.4,Yes,1,Yes
136,9.51,No,0,Yes
120,6.77,No,3,No
108,8.21,Yes,0,No
108,9.62,No,1,No
112,9.35,No,0,No
111,7.64,Yes,4,No
104,8.61,No,3,No
101,6.04,Yes,1,No
99,7.14,No,4,No
88,6.74,No,1,No
95,6.14,Yes,5,No
74,6.95,No,3,No
98,5.46,Yes,0,No
85,8.3,No,1,No
83,7.59,No,3,No
102,7.99,Yes,5,No
120,5.56,Yes,5,Yes
113,5.79,Yes,4,Yes
76,7.56,Yes,3,No
85,9.9,No,0,No
114,5.98,No,3,Yes
85,6.09,No,4,No
96,9.8,No,4,No
108,5.68,Yes,1,No
85,9.85,Yes,4,No
101,7.3,Yes,2,No
79,6.75,Yes,4,No
90,6.07,No,0,No
104,6.71,Yes,4,No
76,6.67,No,1,No
106,9.1,Yes,4,No
99,8.91,No,3,Yes
108,8.15,Yes,5,No
103,8.62,No,5,No
120,6.21,Yes,3,No
101,7.68,Yes,3,No
93,7.06,Yes,2,No
101,8.78,Yes,1,No
108,6.9,Yes,3,No
100,8.51,Yes,3,Yes
100,9.35,No,5,No
89,7.23,Yes,3,No
90,5.4,No,5,No
78,7.42,No,5,No
126,6.96,No,1,No
81,8.54,No,5,No
89,9.88,No,3,Yes
89,7.55,Yes,2,No
113,7.51,Yes,3,No
95,8.15,No,0,No
118,5.89,Yes,2,No
89,5.93,No,0,No
104,9.97,No,3,No
87,8.19,No,3,No
132,4.7,Yes,1,No
82,6.12,Yes,5,No
104,8.29,Yes,0,No
109,9.14,No,0,No
106,9.13,No,4,No
97,6.63,No,4,No
98,9.47,Yes,4,No
100,7.47,Yes,4,No
97,8.37,No,0,No
114,8.09,Yes,1,No
133,5.77,Yes,4,No
91,9.9,Yes,0,No
79,6.1,Yes,1,No
98,6.46,No,1,No
138,9.5,Yes,4,Yes
87,7.71,No,0,No
124,8.75,Yes,2,Yes
125,7.39,No,0,No
91,6.52,No,1,No
108,9.64,Yes,3,No
124,5.2,Yes,4,No
94,9.36,Yes,1,No
96,6.4,No,2,No
91,9.71,No,2,No
84,6.08,No,2,No
90,7.52,Yes,2,No
81,9.28,No,5,No
100,7.13,Yes,0,No
88,8.41,Yes,1,No
103,9.06,No,2,Yes
76,8.73,No,1,No
104,9.36,Yes,1,No
112,7.44,Yes,3,No
70,6.1,No,0,No
105,4.76,No,3,No
118,6.13,No,4,Yes
81,6.11,Yes,4,No
125,7.81,No,5,No
106,5.77,Yes,4,No
89,4.94,No,3,No
99,4.92,Yes,1,No
108,8.76,Yes,5,Yes
101,8.28,No,4,No
108,6.38,No,5,No
86,9.26,Yes,4,No
102,4.9,No,3,No
78,10.18,No,1,No
98,7.62,Yes,4,No
86,5.73,No,0,No
88,8.47,No,4,No
118,8.73,Yes,3,Yes
116,6.93,No,3,No
109,9.09,No,0,No
83,6.05,No,1,No
95,6.86,No,0,No
118,5.32,No,5,No
102,5.59,Yes,4,No
134,5.73,No,3,No
105,9.85,No,1,No
102,5.44,Yes,4,No
95,7.42,No,0,No
102,7.86,Yes,5,No
97,9.9,No,4,No
110,10.38,No,0,No
114,9.06,No,2,Yes
88,9.83,Yes,2,No
80,8.75,No,3,Yes
72,9.83,No,1,No
107,8.54,No,3,Yes
83,5.51,Yes,4,No
67,6.7,No,5,No
105,8.39,Yes,2,No
137,6.71,No,3,No
99,6.49,No,0,No
112,7.63,No,1,No
101,9.6,No,2,No
98,4.88,No,1,No
113,9.23,No,1,No
95,8.6,No,2,No
104,9.54,Yes,0,No
104,9.19,No,5,Yes
89,8.99,Yes,0,No
114,7.31,No,0,No
97,6.51,Yes,1,No
88,7.76,Yes,0,No
108,8.62,No,4,No
86,9.64,No,5,No
100,8.73,Yes,4,No
99,6.3,Yes,0,No
116,7.81,Yes,0,No
107,7.15,No,2,No
99,5.16,Yes,2,No
112,6.34,No,3,No
120,5.14,Yes,1,No
108,9.06,No,1,No
100,6.53,No,2,No
80,6.58,Yes,4,No
84,9.49,Yes,3,No
95,6.76,No,2,No
90,4.81,No,5,No
97,6.53,No,5,No
100,5.44,No,3,No
107,5.32,Yes,1,No
98,5.1,Yes,5,No
107,7.88,Yes,1,No
100,5.65,Yes,5,No
70,7.27,No,1,No
85,8.96,No,4,Yes
97,7.53,No,2,No
81,9.51,Yes,5,No
108,7.37,Yes,5,No
122,6.72,Yes,5,No
118,8.89,No,3,Yes
96,5.56,No,2,No
122,5.42,Yes,1,No
102,7.82,No,1,No
94,7.85,No,2,No
90,9.43,No,0,No
95,9.51,Yes,0,No
94,7.05,No,2,No
102,7.93,Yes,1,No
102,7.32,No,5,No
100,9.49,Yes,3,Yes
106,9.12,No,0,No
117,9.88,No,5,Yes
114,5.79,No,5,No
77,8.94,Yes,5,Yes
61,6.71,No,2,No
114,5.76,No,4,No
79,9.4,Yes,2,Yes
96,5.37,No,1,No
82,9.59,Yes,2,Yes
72,5.44,No,0,No
108,8.98,Yes,0,No
111,6.27,No,5,Yes
91,7.12,Yes,2,No
61,6.2,Yes,5,No
91,7.84,No,3,No
105,6.77,No,2,No
77,8.74,No,3,No
102,4.69,Yes,0,No
99,5.03,No,4,No
108,5.96,Yes,3,No
101,7.55,Yes,2,No
85,8.75,No,1,No
117,9.09,No,1,No
97,6.14,Yes,2,No
99,7.42,Yes,0,No
86,8.99,Yes,0,No
93,6.02,No,0,No
86,6.61,No,2,No
97,7.61,No,1,No
125,6.13,No,4,No
79,5.06,No,1,No
75,5.62,No,0,No
122,8.63,No,2,Yes
96,5.4,No,2,No
89,5.83,Yes,4,No
115,6.58,Yes,1,No
90,5.08,No,0,No
127,5.97,Yes,4,No
110,9.5,Yes,0,No
92,4.87,Yes,1,No
132,7.93,No,4,No
90,6.73,No,0,No
111,8.37,Yes,3,Yes
104,7.5,No,2,No
119,5.77,No,1,No
123,9.69,No,2,Yes
100,7.5,No,0,No
88,8.67,Yes,4,Yes
106,7.22,Yes,0,No
89,9.48,No,5,No
130,9.09,No,3,Yes
102,10.08,No,3,No
94,7.72,No,1,No
102,7.6,Yes,2,No
79,8.37,No,5,No
85,9.63,Yes,0,No
118,9.46,Yes,5,Yes
90,6.46,No,3,No
84,9.43,No,4,No
108,6.05,No,0,No
117,8.2,No,1,No
110,5.49,No,4,No
114,6.72,Yes,2,Yes
88,9.22,Yes,1,No
78,5.86,No,2,No
122,7.74,No,2,No
95,7.64,Yes,3,No
96,5.36,No,5,No
119,6.88,No,2,No
108,7.47,No,4,No
106,6.29,No,4,No
132,8.63,No,4,Yes
90,9.4,No,5,No
113,5.97,No,0,No
100,6.41,No,5,No
104,6.88,Yes,3,No
122,8.34,No,5,Yes
107,6.66,Yes,3,No
108,4.91,Yes,4,No
116,7.93,Yes,0,No
94,9.48,Yes,5,Yes
87,6.92,Yes,2,No
84,6.87,No,2,No
70,9.79,No,2,Yes
130,8.74,Yes,3,Yes
83,8.86,No,2,Yes
96,7.83,No,0,No
95,10.3,Yes,0,No
104,8.2,No,5,Yes
112,9.22,No,5,Yes
112,8.61,No,2,Yes
91,8.8,Yes,3,No
97,6,No,1,No
104,6.63,No,4,No
96,8.78,No,2,Yes
124,6.73,No,2,No
107,8.12,No,5,No
111,6.3,Yes,4,No
109,8.58,No,1,No
117,5.69,No,5,No
102,9.4,No,2,No
80,7.76,No,2,No
105,5.89,Yes,1,No
90,8.18,No,4,No
92,6.21,No,0,No
108,6.34,Yes,2,No
118,6.47,Yes,2,No
100,5.38,No,5,No
104,10.38,No,3,No
125,5.27,No,1,No
103,8.11,No,2,No
139,7,Yes,3,No
108,8.35,No,5,No
73,6.88,No,5,No
111,8.03,No,0,Yes
105,8.78,Yes,1,No
119,8.38,No,0,Yes
110,5.09,Yes,3,No
97,8.32,Yes,5,No
81,6.89,No,4,No
96,4.99,Yes,5,No
87,7.54,No,1,No
91,6.77,No,4,No
108,7.57,No,3,No
125,8.13,Yes,1,No
105,6.31,Yes,2,No
82,6.65,No,3,No
106,5.39,No,5,No
117,8.71,Yes,3,Yes
90,7.96,No,0,No
97,6.84,Yes,4,No
100,8.94,No,5,No
88,7.64,No,5,No
109,7.08,Yes,1,No
98,7.22,No,5,No
106,8.08,No,1,No
86,8.51,No,2,No
93,5.98,Yes,1,No
110,5.33,Yes,2,No
94,5.39,No,1,No
125,8.29,No,5,Yes
94,9.1,Yes,0,No
103,6.72,Yes,5,No
113,5.94,No,3,No
78,9.04,No,1,No
73,8.99,Yes,3,No
77,9.48,Yes,4,No
118,7.63,No,3,No
91,9.74,No,4,No
138,4.92,Yes,1,No
91,6.04,No,0,No
102,5.94,No,0,No
123,8.84,No,3,Yes
130,4.87,Yes,0,No
130,7.52,Yes,4,No
118,6.95,Yes,0,No
115,6.95,Yes,0,No
108,9.64,Yes,5,No
111,6.32,Yes,5,Yes
91,6.87,Yes,0,No
87,8.89,No,2,Yes
99,5.17,No,2,No
97,8.25,Yes,3,No
93,9.05,No,5,No
110,9.8,No,1,No
114,9.81,Yes,5,Yes
101,6.7,Yes,1,No
122,8.29,No,4,Yes
82,5.75,Yes,4,No
97,6.31,No,3,No
89,5.32,No,2,No
72,6.72,Yes,0,No
98,9.33,No,2,Yes
98,6.32,Yes,5,No
122,7.69,Yes,2,Yes
109,7.66,No,5,No
84,6.84,No,3,No
127,10.05,Yes,2,Yes
118,6.82,Yes,1,No
108,8.29,No,2,Yes
96,7.17,No,1,No
85,5.52,No,4,No
94,7.38,Yes,4,No
116,8.66,Yes,5,Yes
128,5.95,No,3,No
123,5.28,Yes,0,No
92,5.94,Yes,2,No
83,8.85,No,0,No
102,8.17,Yes,1,No
73,8.28,Yes,0,No
104,7.63,Yes,2,No
97,9.09,No,5,No
93,9.31,No,0,No
76,9.3,No,0,No
107,9.04,No,0,No
92,8.32,No,3,No
82,6.9,No,0,No
56,9.38,Yes,2,Yes
99,9.2,No,5,No
126,5.16,Yes,2,No
124,5.31,No,0,No
93,10.16,No,3,Yes
90,6.62,Yes,1,No
107,9.12,No,0,No
85,7.33,No,3,No
104,5.67,Yes,4,No
111,5.51,Yes,2,No
118,5.45,Yes,4,No
98,6.61,No,2,No
96,7.87,No,1,No
86,8.78,No,5,No
87,10.37,Yes,3,Yes
96,7.01,Yes,1,No
105,7.95,No,4,No
113,7.6,No,3,No
87,7.36,No,4,No
122,7.76,Yes,0,No
95,5.22,Yes,4,No
99,4.8,No,1,No
88,5.02,Yes,1,No
63,5.21,Yes,0,No
113,8.42,Yes,3,Yes
111,5.69,No,4,No
95,9.16,Yes,5,Yes
101,9.53,Yes,4,Yes
107,10.34,Yes,4,Yes
76,9.96,Yes,3,Yes
92,6.18,No,1,No
111,8,No,0,No
81,6.03,No,5,No
104,8.99,Yes,3,No
79,9.41,Yes,0,No
106,9.17,Yes,2,No
99,6.9,Yes,0,No
75,8.68,No,2,Yes
117,5.52,No,0,No
88,5.23,Yes,2,No
87,9.03,Yes,4,No
103,6.99,Yes,5,No
117,10.2,No,3,Yes
84,5.57,No,4,No
100,9.74,No,1,No
106,7.29,No,3,No
110,9.54,No,4,Yes
102,9.41,Yes,0,No
94,9.72,No,3,No
87,6.64,No,0,No
101,9.33,No,4,No
83,6.21,Yes,3,No
56,5.02,Yes,4,No
106,7.22,Yes,1,No
113,8.97,Yes,4,Yes
64,7.3,No,5,No
84,9.26,No,1,No
109,9.06,No,4,No
130,6.01,No,3,No
100,10.23,No,0,No
89,5.39,Yes,3,No
97,9.15,Yes,4,Yes
120,6.21,No,5,Yes
90,7.72,Yes,4,No
88,6.66,No,4,No
92,5.84,No,2,No
85,6.44,No,1,No
101,5.89,No,0,No
124,6.27,Yes,1,No
104,5.9,No,4,No
96,7.11,No,4,No
95,8.74,No,1,No
76,7.71,No,1,No
113,9.04,Yes,5,Yes
98,8.26,Yes,1,No
97,8.56,No,2,No
147,7.9,Yes,1,No
104,7.15,Yes,4,No
88,8.36,No,0,No
93,5.18,No,3,No
117,9.36,No,5,Yes
101,8.74,No,1,No
78,6.15,No,1,No
113,9.14,No,1,No
89,4.72,No,5,No
128,6.21,Yes,0,No
116,5.34,Yes,1,No
93,8.71,Yes,1,No
119,9.01,No,5,Yes
101,9.12,Yes,1,No
112,5,No,0,No
107,7.68,No,3,No
87,8.82,No,5,No
90,6.25,No,5,No
115,8.38,No,4,Yes
94,5.79,Yes,0,No
93,5.41,Yes,1,No
85,7.41,Yes,2,No
106,7.98,Yes,0,No
130,5.32,Yes,1,No
83,5.96,Yes,5,No
100,6.27,Yes,1,No
121,6.1,No,4,No
98,6.3,No,0,No
106,6.97,No,0,No
84,8.21,No,5,No
106,6.98,Yes,4,No
97,8.76,Yes,5,No
114,8.45,Yes,2,Yes
117,5.78,No,2,No
138,4.86,No,3,No
108,8.98,No,3,No
104,5.56,Yes,4,No
102,5.79,No,5,No
94,5.04,Yes,0,No
105,7.79,No,1,No
95,7.82,No,2,No
102,10.22,No,5,No
119,9.82,No,0,No
84,7.25,Yes,5,No
117,6.42,No,3,No
119,6.65,No,2,No
98,5.5,Yes,1,No
68,5.51,No,5,No
90,5.36,Yes,3,No
119,5.85,Yes,1,No
99,6.35,No,3,No
85,6.64,No,1,No
92,9.98,Yes,5,No
112,7.63,Yes,2,Yes
108,9.88,No,5,No
96,6.99,No,4,No
94,7.43,Yes,1,No
94,6.91,No,2,No
86,5.7,Yes,0,No
124,5.99,No,0,No
95,9.67,Yes,3,Yes
118,10.1,No,5,Yes
122,5.18,No,5,No
114,6.2,No,4,No
93,6.8,No,3,No
106,6.11,No,5,No
99,6.9,Yes,5,No
86,5.32,No,1,No
104,6.85,Yes,4,No
82,6.66,No,1,No
117,6.42,No,5,No
93,5.16,Yes,2,No
103,7.62,No,4,No
104,10.14,No,0,No
96,6.39,Yes,2,No
108,9.47,No,2,Yes
92,9.25,No,1,No
113,10.1,Yes,3,Yes
79,9.18,No,5,No
101,8.63,Yes,1,No
129,8.99,No,2,Yes
84,5.52,No,4,No
89,6.85,No,0,No
107,9.52,No,2,No
102,9.06,Yes,3,No
105,9.33,Yes,5,No
107,8.98,No,3,No
109,9.71,No,5,Yes
116,8.41,No,5,Yes
106,8.34,No,4,No
96,7.83,No,3,No
110,10.05,No,4,No
128,9.35,No,3,Yes
98,9.3,No,1,No
85,8.1,No,5,Yes
116,6.04,No,0,No
98,5.37,No,5,No
67,9.41,No,0,No
112,8.29,Yes,2,Yes
91,6.46,No,2,No
98,5.78,No,1,No
104,9.4,No,5,No
102,9.46,No,1,No
110,9.21,Yes,0,No
93,8.67,No,2,No
107,7.31,No,2,No
96,6.97,No,5,No
111,5.36,No,0,No
109,9.38,No,4,Yes
85,5.6,No,1,No
116,7.75,Yes,2,No
91,7.29,No,0,No
112,7.14,No,1,No
105,9.27,Yes,5,Yes
127,5.1,Yes,0,No
96,8.52,Yes,5,No
94,5.66,No,4,No
99,5.5,Yes,5,No
95,6.72,No,3,No
111,5.07,Yes,2,Yes
75,9.27,No,5,Yes
84,7.95,No,5,No
83,5.6,Yes,1,No
114,5.7,Yes,0,No
125,8.54,No,0,No
98,8.94,No,1,No
97,6.94,No,2,No
101,8.03,No,5,No
117,8.8,No,2,Yes
86,8.36,No,5,Yes
103,6.15,Yes,0,No
114,8.36,No,2,Yes
107,7.92,No,5,No
102,8.68,Yes,3,No
115,8.16,No,4,Yes
59,10.29,No,4,Yes
110,5.76,No,3,No
90,10.2,Yes,2,Yes
72,7.99,Yes,5,No
107,8.59,Yes,0,No
120,5.79,No,2,No
97,7.01,Yes,1,No
114,8.59,Yes,1,Yes
124,8.22,Yes,2,Yes
119,5.57,No,3,Yes
124,7.96,No,1,No
111,5.15,No,5,No
101,10.1,No,4,Yes
75,9.44,No,0,No
96,4.77,No,3,No
87,9.32,No,1,No
132,9.38,No,0,No
97,6.37,No,5,No
101,8.57,No,4,No
108,7.3,No,1,No
100,7.83,Yes,1,No
125,6.6,No,0,No
90,6.37,Yes,0,No
102,6.65,Yes,2,No
88,5.36,Yes,1,No
80,8.8,No,4,Yes
90,6.42,Yes,0,No
99,7.3,Yes,3,No
93,9.41,Yes,1,No
89,7.13,Yes,3,No
78,7.32,No,1,No
98,9.58,No,0,No
77,9.73,No,2,No
111,5.71,No,1,No
101,7.03,No,5,No
78,9.76,No,0,No
95,6.92,Yes,0,No
88,6.39,No,0,No
104,6.11,No,3,No
120,5.47,No,0,No
71,8.21,No,3,No
101,9.02,No,4,No
97,10.06,No,5,No
110,9,Yes,5,No
103,6.06,No,5,No
88,5.23,Yes,2,No
95,9.82,No,5,Yes
88,6.9,No,0,No
116,6.64,No,4,Yes
100,9.11,Yes,0,No
128,8.07,No,4,Yes
99,6.26,No,5,No
89,9.32,Yes,0,No
77,10.35,Yes,2,No
72,5.77,Yes,0,No
76,8.99,No,3,No
104,7.35,Yes,0,No
107,7.56,No,1,No
76,9.79,No,3,Yes
113,10.18,No,4,Yes
92,6.32,No,5,No
102,5.96,No,5,No
124,5.82,Yes,0,No
113,7.54,Yes,5,No
95,4.83,Yes,5,No
86,6.92,Yes,5,No
67,5.73,No,0,No
89,7.47,No,0,No
96,4.92,No,1,No
85,9.54,No,2,No
98,5.81,Yes,2,No
101,7.11,No,3,No
96,9.45,No,3,Yes
90,8.24,No,1,No
102,5.63,Yes,5,No
106,5.01,No,1,No
83,8.27,No,1,No
121,7.22,No,4,No
98,8.55,Yes,5,No
100,7.7,No,5,No
110,6.87,Yes,1,No
103,7.45,Yes,1,No
114,8.46,No,1,No
104,9.9,No,1,No
90,5.42,No,5,No
105,7.98,No,2,No
82,5.62,No,0,No
101,6.97,Yes,0,No
99,9.03,No,2,No
96,7.11,No,1,No
98,10.03,Yes,5,No
71,8.23,No,4,No
91,9.54,Yes,4,Yes
101,8.94,No,3,No
102,5.33,Yes,0,No
84,5.9,No,3,No
118,6.96,No,1,No
87,5.57,Yes,3,No
114,7.45,No,1,No
106,7.82,Yes,3,No
90,10.12,No,2,No
126,7.61,No,5,No
82,9.24,Yes,1,No
113,9.56,No,4,Yes
115,9.69,No,1,No
89,6.46,No,4,No
120,7.93,No,5,Yes
96,6.92,No,4,No
104,6.71,No,3,No
103,6.34,No,0,No
97,8.78,No,0,No
112,7.73,Yes,0,No
111,7.58,No,4,Yes
73,10.26,Yes,0,No
119,5.27,Yes,1,No
75,7.6,No,1,No
115,8.39,Yes,5,Yes
116,5.51,Yes,1,No
83,8,Yes,5,No
93,6.33,No,4,No
83,9.01,Yes,4,Yes
96,6.9,Yes,0,No
95,6.51,No,5,No
111,8.31,No,3,Yes
119,5.52,No,4,No
120,6.6,No,2,Yes
91,6.87,No,1,No
96,7.07,No,1,No
74,7.52,Yes,0,No
87,8.17,No,3,No
114,8.26,No,1,No
124,7.79,Yes,4,No
81,6.05,No,3,No
91,5.9,No,1,No
99,8.95,No,0,No
104,9.04,No,0,No
87,6.28,Yes,0,No
106,6.58,No,4,No
92,7.18,No,0,No
99,7.59,No,2,No
108,8.63,No,4,No
100,5.19,Yes,2,No
93,8.7,No,0,No
98,5.68,Yes,3,No
98,7.15,No,4,No
94,9.34,No,2,No
96,7.62,Yes,4,No
123,5.45,Yes,2,Yes
108,9.79,Yes,5,No
95,9.93,No,4,No
110,9.34,Yes,1,No
94,6.78,No,2,No
117,5.49,No,2,No
105,9.48,No,4,Yes
98,7.56,Yes,3,No
106,9.2,No,1,No
76,6.83,No,2,No
83,7.08,Yes,0,No
82,9.76,No,0,No
102,7.96,No,5,No
125,5.29,No,4,Yes
133,5.64,No,3,Yes
109,7.41,No,1,No
107,4.77,Yes,2,No
72,7.2,No,0,No
91,7.49,Yes,2,No
88,8.64,Yes,0,No
90,6.98,Yes,4,No
97,9.71,No,4,No
92,5.44,Yes,2,No
70,8.01,Yes,4,No
111,5.78,Yes,1,No
83,8.58,No,5,No
103,10.09,No,4,No
131,9.5,No,1,No
86,8.07,No,4,No
62,7.11,Yes,2,No
95,9.41,Yes,1,No
116,9.68,Yes,5,Yes
129,10.2,Yes,5,Yes
81,6.97,No,5,No
107,9.58,No,3,No
93,5.85,Yes,5,No
98,6.26,Yes,2,No
139,5.47,Yes,1,No
77,6.74,No,0,No
103,9.23,Yes,5,No
107,9.21,No,0,No
116,8.85,Yes,3,Yes
101,8.18,No,0,No
104,7.59,No,2,No
94,8.99,Yes,5,No
104,7.1,No,1,No
94,8.99,No,5,No
109,8.42,No,2,No
94,8.62,No,4,Yes
105,7.82,No,4,No
99,9.52,No,0,No
116,5.94,No,3,No
99,6.44,No,3,No
73,8.73,Yes,5,Yes
118,7.39,No,4,No
86,9.01,No,3,Yes
90,7.04,No,3,No
91,6.69,Yes,0,No
120,9.85,Yes,5,Yes
67,6.97,No,2,No
147,7.14,No,2,Yes
115,6.64,Yes,1,No
103,6.07,Yes,2,No
99,8.72,No,2,Yes
104,5.11,Yes,0,No
107,9.31,No,5,Yes
109,9.33,Yes,0,No
108,5.83,Yes,5,No
101,8.06,Yes,2,No
97,7.81,Yes,1,No
97,5.92,No,2,No
97,6.06,Yes,5,No
117,7.01,Yes,2,No
108,8.84,No,4,Yes
55,8.56,Yes,5,No
109,7.21,Yes,1,No
102,8.5,Yes,5,Yes
99,8.57,No,2,No
94,8.18,No,0,No
116,8.79,No,5,Yes
114,7.01,No,2,No
88,9.63,No,3,Yes
106,7.67,No,4,No
85,9.23,No,4,No
79,7.34,Yes,4,No
90,5.85,No,1,No
112,7.39,No,5,No
114,6.53,Yes,4,No
107,8.61,Yes,2,No
110,7.44,No,1,No
107,8.86,Yes,3,No
90,8.88,No,0,No
106,8.34,Yes,4,Yes
112,5.69,No,2,Yes
111,9.54,Yes,1,No
117,9.29,No,5,Yes
110,9.43,No,5,No
105,6.72,No,2,No
116,8.13,No,5,Yes
99,5.63,No,4,No
86,7.63,No,0,No
97,5.73,Yes,1,No
88,7.97,Yes,2,No
89,8.11,Yes,1,No
97,7.31,Yes,4,No
88,7.02,No,5,No
95,9.32,No,4,No
71,5.55,No,3,No
103,9.07,No,3,Yes
100,5.63,No,4,No
87,5.11,Yes,1,No
109,5.91,No,2,No
114,9.02,Yes,2,Yes
75,7.3,No,1,No
88,9.6,No,0,No
88,7.46,No,1,No
85,5.61,No,4,No
112,8.93,Yes,4,Yes
97,5.31,No,3,No
96,8.65,No,2,No
69,5.65,Yes,3,No
109,6.68,Yes,2,No
81,9.16,Yes,1,No
100,10.05,No,0,No
104,7.21,No,5,No
120,8.92,Yes,2,Yes
80,6.04,No,0,No
54,8.82,Yes,0,No
102,7.9,Yes,0,No
127,6.14,Yes,1,No
118,6.15,No,0,No
103,5.83,No,0,No
92,7.06,No,4,No
112,6.33,No,4,No
85,7.86,Yes,2,No
107,10.25,Yes,4,No
107,5.56,Yes,2,No
115,8.05,Yes,0,Yes
141,8.12,No,4,Yes
105,9.73,No,3,Yes
92,7.45,Yes,5,No
99,7.95,Yes,5,No
73,7.58,Yes,1,No
89,6.47,No,4,No
93,5.58,No,1,No
92,6.99,No,5,No
102,4.88,No,4,No
87,7.81,Yes,5,No
116,6.31,No,4,No
100,7.55,No,3,No
99,5.19,No,0,No
95,9.54,Yes,2,No
102,9.78,No,4,Yes
112,5.99,No,4,No
86,6.23,No,1,No
90,8.04,Yes,0,No
95,5.27,Yes,4,No
79,6.75,No,4,No
87,6.16,No,2,No
92,10.01,No,5,Yes
113,8.8,No,0,No
103,8.08,Yes,0,No
102,7.95,No,5,No
112,10.11,Yes,4,Yes
97,9.34,No,0,No
105,9.88,Yes,0,No
98,5.17,No,2,No
103,5.8,Yes,3,No
91,8.01,No,5,Yes
63,8.05,Yes,5,No
97,4.7,No,2,No
121,5.32,Yes,3,No
113,9.46,No,2,Yes
114,9.81,No,5,Yes
118,6.94,Yes,5,No
101,9.25,Yes,4,No
102,7.71,No,2,No
90,8.66,Yes,0,No
95,7.4,Yes,0,No
109,5.76,No,1,No
118,7.28,No,4,No
97,6.83,Yes,0,No
93,8.01,No,4,No
100,5.67,No,2,No
109,10.42,No,0,No
78,6.31,No,4,No
65,5.79,No,2,No
91,7.51,No,5,No
81,7.37,No,3,No
92,7.42,Yes,1,No
97,9.07,Yes,2,No
93,7.28,No,5,No
121,7.71,No,3,Yes
104,8.2,No,4,No
104,5.54,No,3,No
109,7.58,No,0,No
82,9.26,Yes,5,No
115,4.87,Yes,5,Yes
98,6.94,No,4,No
110,9.84,No,1,No
83,7.14,Yes,1,No
76,6.97,No,4,No
112,10.1,No,0,No
105,5.85,No,4,No
86,5.81,Yes,4,No
86,9.1,No,5,Yes
116,8.85,No,4,Yes
82,7.38,Yes,2,No
124,7.22,Yes,1,No
86,8.72,Yes,1,No
109,8.89,No,0,No
95,6.56,No,1,No
109,5.04,No,0,No
91,7.58,No,5,No
97,9.33,Yes,0,No
100,9.61,No,1,No
84,9.88,No,4,No
111,9.57,No,4,Yes
92,7.6,Yes,2,No
96,6.99,Yes,0,No
85,8.81,No,3,No
61,8.65,No,3,Yes
97,7.96,Yes,5,No
136,5.31,No,1,No
111,9.29,Yes,1,No
99,7.03,No,3,No
96,6.53,No,2,No
100,8.38,Yes,5,Yes
108,8.34,Yes,0,No
82,6.26,Yes,0,No
116,9.1,Yes,5,Yes
110,6.84,Yes,1,No
